Age, Cars, Motorcycles, Buses, Goods and Vehicles
0 - < 1,27097,11916,797,5780
1 - < 2,30760,11986,492,9212
2 - < 3,46080,11494,641,10694
3 - < 4,45111,11110,634,8840
4 - < 5,74145,19041,1193,12742
5 - < 6,83440,11237,1108,12735
6 - < 7,86342,8608,1431,17397
7 - < 8,81645,7622,1814,16269
8 - < 9,44156,6798,1727,12164
9 - < 10,17306,7262,1494,10424
10 - < 11,4484,5101,982,2759
11 - < 12,6521,4090,977,2450
12 - < 13,11603,3504,1072,3365
13 - < 14,20957,4618,701,2553
14 - < 15,38153,4690,1004,3447
15 - < 16,14228,2239,827,3281
16 - < 17,6503,2072,287,2927
17 - < 18,4956,1656,281,2085
18 - < 19,794,1644,213,2319
19 - < 20,280,2451,120,2282
20 & above,5008,3936,0,152
Total,649569,143075,17795,143877
